City,County,Zipcode,Total Population 2016,Total Population 2016 Margin of Error,Total Unemployment 2016,Total Unemployment 2016 margin of Error,Age Group 16-19 2016,Age Group 16-19 2016 Margin of Error,Age Group 16-19 2016 Unemployment,Age Group 16-19 2016 Unemployment Margin of Error,Age Group 20-24 2016,Age Group 20-24 2016 Margin of Error,Age Group 20-24 2016 Unemployment,Age Group 20-24 2016 Unemployment Margin of Error,Age Group 25-29 2016,Age Group 25-29 2016 Margin of Error,Age Group 25-29 2016 Unemployment,Age Group 25-29 2016 Unemployment Margin of Error,Age Group 30-34 2016,Age Group 30-34 2016 Margin of Error,Age Group 30-34 2016 Unemployment,Age Group 30-34 2016 Unemployment Margin of Error,Age Group 35-44 2016,Age Group 35-44 2016 Margin of Error,Age Group 35-44 2016 Unemployment,Age Group 35-44 2016 Unemployment Margin of Error,Age Group 45-54 2016,Age Group 45-54 2016 Margin of Error,Age Group 45-54 2016 Unemployment,Age Group 45-54 2016 Unemployment Margin of Error,Age Group 55-64 2016,Age Group 55-64 2016 Margin of Error,Age Group 55-64 2016 Unemployment,Age Group 55-64 2016 Unemployment Margin of Error,Age Group 60-64 2016,Age Group 60-64 2016 Margin of Error,Age Group 60-64 2016 Unemployment,Age Group 60-64 2016 Unemployment Margin of Error,Age Group 65-74 2016,Age Group 65-74 2016 Margin of Error,Age Group 65-74 2016 Unemployment,Age Group 65-74 2016 Unemployment Margin of Error,Age Group 75+ 2016,Age Group 75+ 2016 Margin of Error,Age Group 75+ 2016 Unemployment,Age Group 75+ 2016 Unemployment Margin of Error
Arvada,Jefferson,80001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvada,Jefferson,80002,15335.0,580.0,3.9,1.1,897.0,235.0,12.2,9.4,1568.0,336.0,3.8,2.9,1347.0,255.0,1.3,2.1,1417.0,271.0,6.1,4.2,2407.0,251.0,0.3,0.5,3197.0,368.0,4.1,2.4,1228.0,237.0,5.5,3.9,1005.0,168.0,5.9,5.4,1425.0,193.0,8.2,9.3,844.0,153.0,0,28.9
Arvada,Jefferson,80003,29042.0,816.0,7.7,1.2,2007.0,353.0,25.6,9.5,2363.0,355.0,11.6,5.8,2665.0,458.0,4.9,3.4,2704.0,471.0,2.8,2.1,4732.0,387.0,6.8,2.6,5028.0,387.0,6.5,2.3,2455.0,284.0,8.1,4.3,2288.0,369.0,8.6,5.2,2863.0,338.0,4.5,3.9,1937.0,230.0,27.8,28.1
Arvada,Jefferson,80004,30497.0,749.0,5.4,1.1,1846.0,323.0,21.2,9.2,1981.0,337.0,8.9,4.5,2468.0,329.0,8,5.2,2839.0,314.0,5.9,2.8,4222.0,405.0,4.2,1.9,5186.0,319.0,2.1,1.2,2857.0,307.0,4.2,1.9,2486.0,276.0,1.8,1.6,3115.0,248.0,7.8,5,3497.0,288.0,0,16.8
Arvada,Jefferson,80005,22890.0,612.0,4.1,1.3,1444.0,236.0,20.2,10.3,1141.0,210.0,10.8,7.3,1132.0,195.0,4.4,3.5,1507.0,209.0,3.7,2.6,4041.0,284.0,2.4,1.7,4865.0,346.0,2.5,1.7,2172.0,246.0,3.2,2.3,2018.0,249.0,3.4,2,2928.0,261.0,2,2.3,1642.0,198.0,0,20.4
Arvada,Jefferson,80006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvada,Jefferson,80007,6733.0,284.0,3.3,1.4,412.0,113.0,10.8,11.7,234.0,85.0,6.7,9.9,330.0,142.0,0,10.3,393.0,120.0,0,9,1352.0,166.0,4,3,1416.0,192.0,1.7,1.7,680.0,130.0,4.2,3.8,659.0,167.0,1.8,2.8,832.0,132.0,0,10.1,425.0,111.0,36.7,26.1
Aurora,Arapahoe,80010,31098.0,879.0,8.7,1.3,2383.0,330.0,24.2,9.2,3378.0,381.0,13,4.9,3629.0,347.0,10.2,4.5,3668.0,420.0,4.9,2,6390.0,464.0,6.7,2.2,5514.0,452.0,7.6,2.3,1937.0,294.0,7.9,4.8,1245.0,260.0,5.5,5.3,1657.0,198.0,4.3,4.9,1297.0,194.0,0,27.7
Aurora,Adams,80011,36229.0,1080.0,8.1,1.4,2632.0,382.0,21.7,9.5,4196.0,532.0,11.6,3.9,3925.0,456.0,10.9,4.1,3780.0,455.0,5.4,3.3,6604.0,613.0,7.2,2.7,5939.0,517.0,5.6,1.8,2436.0,323.0,5.1,4.4,2149.0,374.0,4.6,3.3,2560.0,264.0,8.8,4.8,2008.0,245.0,11.1,14.6
Aurora,Arapahoe,80012,38930.0,1042.0,9.8,1.3,2566.0,364.0,31.7,9.5,3970.0,503.0,14,5.3,4350.0,434.0,10,3.4,3611.0,400.0,11.8,4.6,7268.0,553.0,6.1,2.2,5975.0,503.0,7,2.2,2903.0,351.0,7.6,3.7,2915.0,331.0,8,4.5,3043.0,320.0,7.1,4.8,2329.0,194.0,16.5,20
Aurora,Arapahoe,80013,55788.0,1256.0,6.3,0.9,3812.0,405.0,21.2,8,4425.0,479.0,11.6,3.6,5333.0,474.0,8.6,3.4,6444.0,565.0,5.7,2.2,10996.0,593.0,4.2,1.5,10352.0,560.0,3.7,1.1,4687.0,385.0,4.8,2.4,3946.0,340.0,3.5,2.3,4157.0,345.0,6,4.2,1636.0,212.0,11.4,16.6
